Location,Date,Month,Day,Year,Set #,Site,Species,Length,Weight (g),hatchery/wild,oto read,hatchery_site,freezer sample number
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,45,0.9,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,280,.,pink salmon,47,0.9,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,282,.,pink salmon,49,1.2,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,50,1.1,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,51,1.4,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,51,1.4,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,52,1.4,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,54,1.5,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,55,1.7,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,56,1.6,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,280,.,pink salmon,56,1.8,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,282,.,pink salmon,57,1.8,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,280,.,pink salmon,58,1.8,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,279,.,pink salmon,59,1.9,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,60,2.3,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,60,2.4,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,279,.,pink salmon,61,2.1,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,282,.,pink salmon,61,2.1,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,61,2.3,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,282,.,pink salmon,61,2.3,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,279,.,pink salmon,62,2.2,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,280,.,pink salmon,63,2.3,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,280,.,pink salmon,64,2.4,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,280,.,pink salmon,64,2.4,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,64,2.5,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,64,2.5,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,282,.,pink salmon,64,2.5,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,279,.,pink salmon,64,2.7,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,64,2.8,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,64,2.9,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,65,2.4,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,280,.,pink salmon,65,2.6,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,65,2.7,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,65,2.7,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,279,.,pink salmon,65,2.8,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,279,.,pink salmon,66,2.6,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,279,.,pink salmon,66,2.7,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,280,.,pink salmon,66,3.1,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,67,2.7,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,68,2.7,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,68,2.9,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,282,.,pink salmon,68,2.9,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,279,.,pink salmon,68,3.0,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,282,.,pink salmon,68,3.3,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,282,.,pink salmon,69,3.3,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,70,3.2,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,70,3.2,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,70,3.2,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,70,3.5,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,282,.,pink salmon,70,3.5,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,282,.,pink salmon,70,3.6,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,71,3.3,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,279,.,pink salmon,71,3.4,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,71,3.6,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,279,.,pink salmon,72,3.8,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,279,.,pink salmon,72,3.8,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,279,.,pink salmon,72,4.2,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,278,.,pink salmon,74,3.5,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,282,.,pink salmon,74,3.7,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,280,.,pink salmon,76,3.9,unknown,.,.,NA
Agripina,7/5/2021,July,5,2021,280,.,pink salmon,77,4.1,unknown,.,.,NA
